WKT	OBJECTID	FEATURE
"LINESTRING (509508.6428913519 7495457.832211417, 510036.1603626636 7495391.341139982, 510068.060698209 7495416.341770741, 510588.8708147886 7495279.841016444, 511236.9057932515 7495149.35565486, 511930.1360991848 7495158.363169313, 512737.0619202164 7495007.374382766, 512907.5919483285 7494944.370208874, 512998.0598571377 7494910.870135035, 513435.3684687906 7494748.870917778, 514050.67839981 7494421.378981754, 514544.8890954898 7494042.890411992, 514879.8945147984 7493614.883930668, 515176.4207637248 7493122.883453775, 515479.4585385592 7492650.39436877, 515821.3617756188 7492330.396451843, 516087.5434381425 7492144.398231057, 516385.874893561 7492021.900239233)"	"5298"	"Fault or shear zone"
"LINESTRING (509566.7567355191 7514303.344813204, 510217.5261727148 7513415.36494155, 510843.5050658539 7512668.355384296, 511514.1073377882 7511925.371078121, 511585.4849077993 7511823.997813603, 511842.5581280228 7511458.878107471, 512273.4411530715 7511131.88180846, 512504.2234876571 7510989.77199767, 512774.4102743092 7510823.390202988, 513218.3511184064 7510572.888801378, 513494.3086203474 7510473.482240969, 514456.2688433805 7510126.912080837, 514671.179956787 7510075.339552669, 514970.8490300996 7510003.421793655, 515394.9275129607 7509828.845650297, 515762.9211224568 7509734.929779945, 516050.2414914105 7509647.433505684, 517524.0783686196 7509517.960638031, 517746.8603291395 7509496.4685744, 518067.7492261463 7509452.46925718, 518912.7777273635 7509330.469264088, 519307.4402216122 7509273.489978615, 520543.7348397746 7509095.012791169, 521090.5512352326 7509073.010523962)"	"12660"	"Fault or shear zone"
"LINESTRING (520020.6948380488 7495438.933689507, 519762.1990770419 7495904.939755942, 519433.317879363 7496282.440096316, 519021.3599031802 7496577.430042792, 518014.1268506973 7497123.757406968, 517847.8796070706 7497213.920483816)"	"962"	"Fault or shear zone"
"LINESTRING (520762.1745140147 7490000, 520689.0811936194 7490139.435721959, 520260.7445781892 7491109.445960287, 519972.7815469111 7492053.43901718, 519550.3904075171 7492831.928755386, 518943.5373077549 7493598.928786993, 518184.8404649407 7494525.920076355, 517804.7701799663 7494846.419316646, 517393.6292484383 7495306.919828533, 517026.3192496095 7495626.907642675, 516855.6884269856 7495863.411676507, 516444.342350968 7496285.908533265, 515754.7990571932 7497040.409498658, 515572.2283290472 7497244.410824312, 515387.8802012106 7497449.911484472, 515090.6811785205 7497755.410967518, 515033.5132423529 7497814.397320466, 514809.9504529551 7497998.909524444, 514561.9087648375 7498203.898431847, 514472.0090595513 7498277.889194509, 514412.7483578049 7498326.901432419, 514229.4689469429 7498441.401682518, 514165.4741339243 7498481.400370681, 513025.7543424689 7499531.384304392)"	"2235"	"Fault or shear zone"
"LINESTRING (522459.529177895 7512088.520967374, 521710.4899599072 7512392.008338654, 521012.0400450545 7512605.499643788, 520338.6287192465 7512761.992342453, 519646.4217733971 7512962.969492117, 518845.8495111697 7513113.960254174, 518852.3214205384 7513132.958801113, 518681.6004059641 7513163.460244864, 517568.7786567149 7513362.440888902, 516323.2255353271 7513547.422167042)"	"16769"	"Fault or shear zone"
"LINESTRING (522843.7138006306 7511577.421128497, 522667.6432442597 7511811.672819528, 522459.529177895 7512088.520967374, 522004.1118336946 7512606.520235716, 521206.448052546 7513361.990735246, 520542.4626529398 7514160.968576635, 519928.6807687491 7514807.459462123, 519637.8437801598 7515158.941412969, 519480.0558917666 7515414.440671423, 519418.4346491985 7515485.763669115, 519041.141933471 7515922.438162035, 517993.830778137 7517134.404593773)"	"2248"	"Fault or shear zone"
"LINESTRING (524248.5879006177 7500447.019791603, 523397.800140245 7500183.49101218, 522854.1015355051 7500070.490630239, 522262.5892723424 7500072.482112177)"	"15546"	"Fault or shear zone"
"LINESTRING (506850.6027026747 7490000, 506693.3199248874 7490533.769389339, 506417.2578050838 7491318.281426178, 506134.789478971 7492096.278286939, 506019.2299967573 7492550.779851085, 506009.9599912639 7492587.270646449, 505306.7185881146 7493964.268844351, 505159.3889420681 7494252.77716993, 504928.6701988433 7494580.76953129, 504894.1120782016 7494629.769137943, 504453.467381971 7495586.771070279, 504011.8697208729 7496327.771088669, 503550.6392784068 7496953.770195037, 502670.3611782523 7497728.770300493, 501912.1534003938 7498718.757834104, 501514.1296449522 7499307.258026048, 501262.0993637148 7499798.762075929, 501193.3106238475 7500045.759155892, 501130.789612007 7500270.261554886, 500928.6303969356 7500891.772292877, 500855.0168673573 7501118.261530686, 500408.9031094855 7502253.766169501)"	"7344"	"Fault or shear zone, major"
"LINESTRING (520343.178845656 7501712.978961742, 521600.9787950013 7500716.479862278, 522066.4407673655 7500347.99055952, 522262.5892723424 7500072.482112177, 523291.2388393459 7498627.490776381, 523430.9410851992 7498430.979713375, 524119.3216712023 7497642.515167162, 524494.0876216331 7496605.006665763, 524724.6254808855 7495307.987497566, 525272.3578124817 7494039.499616748, 525704.7050444481 7493463.004130416, 526223.5523500639 7492598.513504239, 526718.5994980459 7491736.499324158, 527174.8199988352 7490782.511625465, 527680.8672033168 7490012.509104176, 527689.0357004284 7490000)"	"12647"	"Fault or shear zone"
"LINESTRING (523814.8091909168 7500861.501062085, 524403.0688352056 7500914.508251952, 525518.2012575322 7500983.103860432, 526591.3817509152 7501049.0416828, 528009.3800239285 7501104.558906382, 528302.3796234686 7501116.061090371)"	"11445"	"Fault or shear zone"
"LINESTRING (529446.1565419823 7499851.690590592, 529080.2915462828 7500220.560018577, 528861.2821091067 7500456.376656863, 528593.1590481335 7500745.061562199, 528419.5086110234 7500966.56095005, 528302.3796234686 7501116.061090371, 528055.8005487525 7501423.059336577, 527895.3804132865 7501600.550623675, 527190.8102288014 7502380.041910088, 527002.7512360156 7502588.051300704, 526806.6566107097 7502805.055779273)"	"6000"	"Fault or shear zone"
"LINESTRING (529739.1347306146 7490000, 528977.9285138632 7490769.530310051, 528182.869514532 7492066.029675689, 527790.8076460677 7492539.02315779, 527475.0433743725 7492999.026841523, 527088.2504135587 7493236.51080705, 526531.3651128393 7493812.513877437, 526241.4896892194 7494361.512599494, 526035.0783696371 7495088.003753026, 525796.6580871128 7495764.013787739, 525855.1976437944 7496044.014673715, 525794.7771310136 7496712.512838149, 525856.8355977278 7497705.016057096, 525757.7510356673 7498272.014089078, 525089.1570868127 7499446.523187181, 524596.2758800784 7500098.515409067, 524512.8016415874 7500182.00755984, 524248.5879006177 7500447.019791603, 523887.3958250585 7500808.999436227, 523814.8091909168 7500861.501062085, 523576.8901202019 7501033.501141637, 523090.5919463073 7501408.489780864, 522521.9818031149 7501847.499487178, 522422.2515868307 7501924.491564869, 522189.265679979 7502103.998349946)"	"3496"	"Fault or shear zone"
"LINESTRING (528055.8005487525 7501423.059336577, 529283.5101245476 7501486.06090314, 529735.546288338 7501486.244186529, 530418.7091161757 7501486.495882196, 531172.4107788386 7501486.738344416, 532463.8035782139 7501487.067533884, 532622.2591007367 7501487.100418948)"	"12646"	"Fault or shear zone"
"LINESTRING (532240.9093332799 7520000, 532538.0443610484 7519770.235373774, 532956.1438343134 7519517.757278616, 533136.4076071326 7519431.251275661)"	"8973"	"Fault or shear zone"
"LINESTRING (539513.1873802864 7491597.135662138, 539039.4203285255 7492274.12993127, 538799.8704078253 7492714.619908525, 537896.9523632579 7494062.605013421, 536855.6906764692 7495537.219498225, 536570.44569593 7495941.114592441, 534479.0962729522 7498804.100987358, 534340.198053612 7498999.598917205, 534210.0803737598 7499182.601076158, 533285.191948458 7500484.100489484, 533038.9283901458 7500854.600384599, 532980.3023073664 7500984.598948229, 532914.7496984366 7501129.601234372, 532869.0051746584 7501231.109522001, 532622.2591007367 7501487.100418948, 532540.0099931684 7501632.11100112, 532401.5081382872 7501876.600775927, 532130.4601205576 7502165.598587245, 531813.0670389374 7502503.612030346, 531205.5805996726 7503124.104875519, 531092.2100394127 7503242.110120674, 530852.9701849594 7503491.101557737, 530456.1413454224 7503904.609147937, 530330.9386297039 7504034.60013126, 530175.9656372904 7504196.103201425)"	"3498"	"Fault or shear zone"
"LINESTRING (537479.4876275827 7491875.605280645, 538108.9807282847 7491621.570607612, 538653.3827480276 7491340.636582417, 539288.1842333563 7491102.136069761, 540207.9455752618 7490606.635625113, 540639.1213954657 7490337.128159951, 540907.5026328518 7490065.840333108, 540972.6352934968 7490000)"	"5475"	"Fault or shear zone"
"LINESTRING (545000 7490780.631077075, 544972.20599484 7490816.668644879, 544698.5290464013 7491229.161237476, 544585.5114451046 7491365.671757678, 544315.0181337398 7491692.172029819, 544278.1998061514 7491731.16215295, 544116.7489278477 7491902.661235261, 543948.0093154152 7492082.159292029, 543815.639348491 7492181.652319029, 543212.9417212086 7492633.64954097, 542578.6193566388 7492980.651306433, 542286.8891407726 7493141.651626134, 541963.1916303762 7493283.139785942, 541373.2598002416 7493585.628969602, 540638.1243224308 7494130.628004129, 540139.0534099826 7494814.134235115, 539420.7438727439 7496089.788245166, 539394.9320925357 7496135.62297114, 539028.582859757 7496659.634657473, 538598.4460751902 7497133.111722196, 538110.633066493 7497524.112075554, 537533.4943429951 7497858.113273127, 536981.5094442554 7498128.61605469, 536416.3947481646 7498309.604129587, 535889.2944331053 7498465.104733093, 535476.490004065 7498575.614150507, 534479.0962729522 7498804.100987358)"	"2997"	"Fault or shear zone"
"LINESTRING (539388.375582052 7490000, 538311.2255700084 7490273.624975343, 537771.6127249806 7490461.123313998, 537397.3711462558 7490660.111204296, 537143.2393442522 7490712.60994997, 536190.4407036966 7490947.099784818, 534321.3049298284 7491059.071795085, 533413.0774343542 7491318.567578699, 532258.3325866393 7491872.062288269, 531616.5310359637 7491977.044998595, 530872.6141028183 7492013.049088156, 530002.6940439477 7492272.541349767, 529240.7479810439 7492531.02930639, 528389.7535967929 7492771.532828385, 527475.0433743725 7492999.026841523)"	"7439"	"Fault or shear zone, major"
"LINESTRING (543235.211947539 7490000, 543213.1127309214 7490017.653503144, 543048.6076017327 7490190.670277696, 542727.2942475824 7490582.411660602, 542565.7141811225 7490765.152392894, 542391.5011863221 7491085.149292344, 542259.7901782476 7491461.148964755, 542203.4287172997 7491646.147394061, 542059.9546755732 7492226.136979027, 541941.9244390739 7492825.145186876, 541963.1916303762 7493283.139785942)"	"5993"	"Fault or shear zone"
